tipos	tipas
corruptos	corruptas
destinatarios	destinatarias
canarios	canarias
reporteros	reporteras
inversores	inversoras
emotivos	emotivas
serbios	serbias
estúpidos	estúpidas
payasos	payasas
constructores	constructoras
palestinos	palestinas
mojados	mojadas
precursores	precursoras
fracasados	fracasadas
guardianes	guardianas
enanos	enanas
acreedores	acreedoras
bizantinos	bizantinas
rústicos	rústicas
fanáticos	fanáticas
unitarios	unitarias
mensajeros	mensajeras
burros	burras
afiliados	afiliadas
ilustradores	ilustradoras
lanzadores	lanzadoras
graduados	graduadas
sudamericanos	sudamericanas
morenos	morenas
morenitos	morenitas
zorros	zorras
zorritos	zorritas
locutores	locutoras
antecesores	antecesoras
demandados	demandadas
raperos	raperas
procuradores	procuradoras
decanos	decanas
supervisores	supervisoras
místicos	místicas
mentores	mentoras
cachorros	cachorras
cachorritos	cachorritas
padrinos	madrinas
pescadores	pescadoras
notarios	notarias
subsecretarios	subsecretarias
beneficiarios	beneficiarias
siervos	siervas
marineros	marineras
salvadores	salvadoras
competidores	competidoras
sevillanos	sevillanas
patrocinadores	patrocinadoras
guerrilleros	guerrilleras
romeros	romeras
vagos	vagas
tiranos	tiranas
adictos	adictas
egresados	egresadas
patriarcas	matriarcas
carpinteros	carpinteras
seleccionadores	seleccionadoras
intermediarios	intermediarias
artesanos	artesanas
interlocutores	interlocutoras
mediadores	mediadoras
puertorriqueños	puertorriqueñas
andromedanos	andromedanas
conquistadores	conquistadoras
regidores	regidoras
correctores	correctoras
oradores	oradoras
cajeros	cajeras
exiliados	exiliadas
yernos	nueras
vigésimos	vigésimas
apoderados	apoderadas
jardineros	jardineras
burgueses	burguesas
ganaderos	ganaderas
pensadores	pensadoras
psíquicos	psíquicas
flacos	flacas
flaquitos	flaquitas
prematuros	prematuras
anotadores	anotadoras
noticieros	noticieras
navarros	navarras
agricultores	agricultoras
exportadores	exportadoras
tiradores	tiradoras
neoclásicos	neoclásicas
perdedores	perdedoras
colectores	colectoras
honorarios	honorarias
transmisores	transmisoras
ingenuos	ingenuas
murciélagos	murciélagas
eruditos	eruditas
destructores	destructoras
cofundadores	cofundadoras
ticos	ticas
jubilados	jubiladas
animadores	animadoras
cabrones	cabronas
clandestinos	clandestinas
peregrinos	peregrinas
instaladores	instaladoras
oriundos	oriundas
prefectos	prefectas
estudiosos	estudiosas
loros	loras
preparadores	preparadoras
auditores	auditoras
huérfanos	huérfanas
peones	peonas
sordos	sordas
laicos	laicas
tapados	tapadas
admiradores	admiradoras
limpiadores	limpiadoras
colorados	coloradas
multimillonarios	multimillonarias
refugiados	refugiadas
gatitos	gatitas
emuladores	emuladoras
subdirectores	subdirectoras
tesoreros	tesoreras
depredadores	depredadoras
progenitores	progenitoras
inquilinos	inquilinas
homólogos	homólogas
bárbaros	bárbaras
predicadores	predicadoras
sapos	sapas
coautores	coautoras
virtuosos	virtuosas
alcohólicos	alcohólicas
seductores	seductoras
escépticos	escépticas
comunicadores	comunicadoras
viceministros	viceministras
calvos	calvas
franciscanos	franciscanas
pillos	pillas
serranos	serranas
devotos	devotas
cantores	cantoras
paisanos	paisanas
diplomados	diplomadas
galeses	galesas
papis	mamis
papitos	mamitas
papacitos	mamacitas
topos	topas
antepasados	antepasadas
peritos	peritas
hoteleros	hoteleras
pendejos	pendejas
subordinados	subordinadas
rockeros	rockeras
mafiosos	mafiosas
letrados	letradas
desgraciados	desgraciadas
barceloneses	barcelonesas
recibidores	recibidoras
cuidadores	cuidadoras
rabinos	rabinas
vizcondes	vizcondesas
malagueños	malagueñas
francotiradores	francotiradoras
electores	electoras
exjugadores	exjugadoras
llaveros	llaveras
cautivos	cautivas
pelados	peladas
mendigos	mendigas
leoneses	leonesas
tigres	tigresas
extremeños	extremeñas
bomberos	bomberas
occitanos	occitanas
escribanos	escribanas
chiquitos	chiquitas
chiquititos	chiquititas
pequeñines	pequeñinas
chivos	chivas
libertarios	libertarias
camellos	camellas
vagabundos	vagabundas
aseguradores	aseguradoras
soñadores	soñadoras
operarios	operarias
paganos	paganas
mercenarios	mercenarias
inhibidores	inhibidoras
alpinos	alpinas
visionarios	visionarias
convertidores	convertidoras
vikingos	vikingas
cínicos	cínicas
tibetanos	tibetanas
ginecólogos	ginecólogas
ancestros	ancestras
centroamericanos	centroamericanas
mestizos	mestizas
formadores	formadoras
labradores	labradoras
matadores	matadoras
enfermeros	enfermeras
vegetarianos	vegetarianas
becarios	becarias
ositos	ositas
osos	osas
patitos	patitas
patos	patas
cerdos	cerdas
cerditos	cerditas
expositores	expositoras
geógrafos	geógrafas
precandidatos	precandidatas
manipuladores	manipuladoras
curadores	curadoras
infractores	infractoras
geólogos	geólogas
carteros	carteras
propulsores	propulsoras
mezcladores	mezcladoras
pedagogos	pedagogas
triunfadores	triunfadoras
facilitadores	facilitadoras
importadores	importadoras
bastardos	bastardas
transportadores	transportadoras
filólogos	filólogas
lexicográficos	lexicográficas
lexicológicos	lexicológicas
arrendatarios	arrendatarias
sureños	sureñas
panaderos	panaderas
violadores	violadoras
prelados	preladas
consoladores	consoladoras
reductores	reductoras
coreógrafos	coreógrafas
metafísicos	metafísicas
entrevistadores	entrevistadoras
libreros	libreras
prófugos	prófugas
gringos	gringas
asnos	asnas
germanos	germanas
bisabuelos	bisabuelas
abuelitos	abuelitas
principitos	princesitas
eclécticos	eclécticas
integradores	integradoras
manchegos	manchegas
hidalgos	hidalgas
fugitivos	fugitivas
priores	prioras
repartidores	repartidoras
coquetos	coquetas
homenajeados	homenajeadas
basureros	basureras
marcianos	marcianas
venusinos	venusinas
saturnianos	saturnianas
abridores	abridoras
negociadores	negociadoras
cinéfilos	cinéfilas
reparadores	reparadoras
interventores	interventoras
arameos	arameas
disparadores	disparadoras
divorciados	divorciadas
dispersos	dispersas
platónicos	platónicas
emigrados	emigradas
norteños	norteñas
gaditanos	gaditanas
intrusos	intrusas
peatones	peatonas
profanos	profanas
barberos	barberas
libertadores	libertadoras
hermanastros	hermanastras
pervertidos	pervertidas
confesores	confesoras
astrólogos	astrólogas
provocadores	provocadoras
marginados	marginadas
piscos	piscas
superintendentes	superintendentas
corsos	corsas
camioneros	camioneras
prusianos	prusianas
estafadores	estafadoras
multiplicadores	multiplicadoras
archiduques	archiduquesas
bandidos	bandidas
bloqueadores	bloqueadoras
relatores	relatoras
riojanos	riojanas
cantaores	cantaoras
bateadores	bateadoras
potros	potras
analizadores	analizadoras
beatos	beatas
postores	postoras
politólogos	politólogas
obesos	obesas
californianos	californianas
benefactores	benefactoras
vicegobernadores	vicegobernadoras
ex-presidentes	ex-presidentas
expresidentes	expresidentas
copresidentes	copresidentas
gansos	gansas
paleontólogos	paleontólogas
acumuladores	acumuladoras
perseguidores	perseguidoras
cornudos	cornudas
usurpadores	usurpadoras
liberadores	liberadoras
forasteros	forasteras
discapacitados	discapacitadas
bretones	bretonas
sicarios	sicarias
escandinavos	escandinavas
lusos	lusas
perturbadores	perturbadoras
secuestradores	secuestradoras
fulanos	fulanas
síndicos	síndicas
peloteros	peloteras
joyeros	joyeras
acomodados	acomodadas
hacendados	hacendadas
emisarios	emisarias
matones	matonas
orientadores	orientadoras
agrónomos	agrónomas
literatos	literatas
arrendadores	arrendadoras
desempleados	desempleadas
inquisidores	inquisidoras
comendadores	comendadoras
roperos	roperas
benedictinos	benedictinas
dermatólogos	dermatólogas
bioquímicos	bioquímicas
canteranos	canteranas
cortesanos	cortesanas
ideólogos	ideólogas
conselleres	conselleras
registradores	registradoras
llaneros	llaneras
redentores	redentoras
cabritos	cabritas
bisnietos	bisnietas
tuertos	tuertas
florentinos	florentinas
corsarios	corsarias
pupilos	pupilas
musicólogos	musicólogas
kurdos	kurdas
conciliadores	conciliadoras
impostores	impostoras
chiquillos	chiquillas
repetidores	repetidoras
suburbanos	suburbanas
contralores	contraloras
recolectores	recolectoras
imitadores	imitadoras
analfabetos	analfabetas
suscriptores	suscriptoras
probadores	probadoras
inexpertos	inexpertas
napolitanos	napolitanas
armadores	armadoras
iberoamericanos	iberoamericanas
sicilianos	sicilianas
reformadores	reformadoras
proletarios	proletarias
genoveses	genovesas
retrógrados	retrógradas
vicerrectores	vicerrectoras
planificadores	planificadoras
hacedores	hacedoras
espartanos	espartanas
novilleros	novilleras
chanchos	chanchas
zaragozanos	zaragozanas
fenicios	fenicias
hispanoamericanos	hispanoamericanas
bicampeones	bicampeonas
salmantinos	salmantinas
conversos	conversas
eurodiputados	eurodiputadas
bávaros	bávaras
cerveceros	cerveceras
gladiadores	gladiadoras
agraciados	agraciadas
esquiadores	esquiadoras
pobrecitos	pobrecitas
búfalos	búfalas
suramericanos	suramericanas
maltratadores	maltratadoras
insensatos	insensatas
sensatos	sensatas
drogadictos	drogadictas
becados	becadas
lecheros	lecheras
tomadores	tomadoras
charros	charras
metalúrgicos	metalúrgicas
metaleros	metaleras
calculadores	calculadoras
criadores	criadoras
manufactureros	manufactureras
incomprendidos	incomprendidas
convictos	convictas
cartagineses	cartaginesas
tarados	taradas
meseros	meseras
mulatos	mulatas
avaros	avaras
cartógrafos	cartógrafas
introvertidos	introvertidas
abusadores	abusadoras
activadores	activadoras
decoradores	decoradoras
surtidores	surtidoras
examinadores	examinadoras
testadores	testadoras
asirios	asirias
visitadores	visitadoras
prestatarios	prestatarias
mejicanos	mejicanas
montañeros	montañeras
anunciadores	anunciadoras
remolcadores	remolcadoras
toscanos	toscanas
subalternos	subalternas
recaudadores	recaudadoras
vengadores	vengadoras
finados	finadas
futboleros	futboleras
vicesecretarios	vicesecretarias
hipopótamos	hipopótamas
paralíticos	paralíticas
bebedores	bebedoras
ochentenos	ochentenas
escenógrafos	escenógrafas
xenófobos	xenófobas
cabezones	cabezonas
normandos	normandas
drogados	drogadas
siberianos	siberianas
hawaianos	hawaianas
exsecretarios	exsecretarias
chatos	chatas
reclusos	reclusas
agnósticos	agnósticas
ingratos	ingratas
pijos	pijas
borregos	borregas
desertores	desertoras
jornaleros	jornaleras
benjamines	benjaminas
transgresores	transgresoras
codirectores	codirectoras
salseros	salseras
sádicos	sádicas
chiflados	chifladas
trepadores	trepadoras
desalojados	desalojadas
micólogos	micólogas
fiadores	fiadoras
presumidos	presumidas
continuadores	continuadoras
colonizadores	colonizadoras
bandoleros	bandoleras
desamparados	desamparadas
dadores	dadoras
preceptores	preceptoras
oidores	oidoras
lombardos	lombardas
neuróticos	neuróticas
hospedadores	hospedadoras
leprosos	leprosas
súbditos	súbditas
pitufos	pitufas
meteorólogos	meteorólogas
sumerios	sumerias
titiriteros	titiriteras
filosofos	filosofas
jorobados	jorobadas
pasteleros	pasteleras
entomólogos	entomólogas
pedófilos	pedófilas
moriscos	moriscas
cholos	cholas
occisos	occisas
suministradores	suministradoras
esquizofrénicos	esquizofrénicas
explotadores	explotadoras
comuneros	comuneras
guarros	guarras
incendiarios	incendiarias
segovianos	segovianas
carceleros	carceleras
victimarios	victimarias
cobradores	cobradoras
patinadores	patinadoras
tejanos	tejanas
gamberros	gamberras
manejadores	manejadoras
colchoneros	colchoneras
histéricos	histéricas
llorones	lloronas
jónicos	jónicas
torturadores	torturadoras
anglicanos	anglicanas
rancheros	rancheras
checoslovacos	checoslovacas
samaritanos	samaritanas
