fawn	faun
mackintosh	macintosh mcintosh
96	ninety-six
me	mi
berth	birth
mourn	morn
brows	browse
wore	war
sighed	side
tear	tare tier
die	dye
levee	levy
magnet	magnate
discrete	discreet
team	teem
sixty-five	65
porn	pawn
mi	me
pore	poor pour
sign	sine
currant	current
upped	up
hymn	him
choral	coral
seventy-four	74
axes	axis
current	currant
axel	axle
bawled	bald
wain	wane
wail	wale whale
ninety-nine	99
genes	jeans
gnaw	naw nor
ingenuous	ingenious
hoarse	horse
wait	weight
boy	buoy
thirty	30
eke	eek
twenty-seven	27
bow	beau bough
queue	cue kyu
yoke	yolk
macintosh	mackintosh mcintosh
islet	eyelet
aye	eye i
by	buy bye
complaisant	complacent
bases	basis
prey	pray
dowse	douse
altar	alter
clue	clew
virtue	virtu
realty	reality
terce	terse
prophecy	prophesy
flu	flew flue
soul	sol sole
incidents	incidence
bowled	bold
thirty-five	35
ferry	fairy
coral	choral
heart	hart
accessary	accessory
nock	knock
locks	lox
council	counsel
allowed	aloud
chic	sheik
thirty-three	33
kyu	cue queue
rays	raise raze
1	one won
forty-one	41
parameter	perimeter
purl	pearl
cowered	coward
levy	levee
maw	moor more
eighty	80
bawl	ball
accessory	accessary
missal	missile
guys	guise
waist	waste
marshal	marital marshall martial
tale	tail
so	saw sew soar sore sow
talk	torque
serge	surge
yule	you'll
course	coarse
stile	sty style
lyre	liar
shake	sheikh
braid	brayed
tore	tor
mantle	mantel
he'd	heed
maid	made
policy	polity
mail	male
main	mane
disparate	desperate
nob	knob
hale	hail
not	knot
hall	haul
nor	gnaw naw
wont	want
tern	turn
bullion	bouillon
kerb	curb
brews	bruise
giro	gyro
summary	summery
canvas	canvass
profit	prophet
sensor	censer censor censure
gaffe	gaff
byte	bight bite
ore	awe oar oh or owe
seventy	70
manikin	mannequin
flare	flair
deprivation	depravation
gaff	gaffe
seventy-three	73
turn	tern
place	plaice
wright	rate right rite write
feign	fain
clause	claws
foaled	fold
intrastate	interstate
shearn	shear sheer
ring	wring
size	sighs
sheer	shear shearn
caught	court
callous	callus
2	to toe too tow two
draft	draught
persecute	prosecute
white	wight
cite	sight site
douse	dowse
hue	hew
quay	key
revue	review
wax	whacks
cops	copse
ninety-seven	97
butt	but
than	then
11	eleven
10	ten
13	thirteen
12	twelve
15	fifteen
14	fourteen
